,Estados Unidos Mexicanos,Entidad federativa,Edad desplegada,Población de 6 a 14 años:Total,Población de 6 a 14 años:Hombres,Población de 6 a 14 años:Mujeres,Sabe leer y escribir :Total,Sabe leer y escribir :Hombres,Sabe leer y escribir :Mujeres,No sabe leer y escribir :Total,No sabe leer y escribir :Hombres,No sabe leer y escribir :Mujeres,No especificado :Total,No especificado :Hombres,No especificado :Mujeres
173,Estados Unidos Mexicanos,17 Morelos,Total,299124,151753,147371,264676,133834,130842,33974,17677,16297,474,242,232
174,Estados Unidos Mexicanos,17 Morelos,6 años,32308,16400,15908,11775,5883,5892,20420,10454,9966,113,63,50
175,Estados Unidos Mexicanos,17 Morelos,7 años,31859,16262,15597,25758,13064,12694,6049,3174,2875,52,24,28
176,Estados Unidos Mexicanos,17 Morelos,8 años,34928,17610,17318,32616,16407,16209,2255,1174,1081,57,29,28
177,Estados Unidos Mexicanos,17 Morelos,9 años,33144,16973,16171,31880,16287,15593,1206,657,549,58,29,29
178,Estados Unidos Mexicanos,17 Morelos,10 años,35341,18158,17183,34325,17628,16697,967,509,458,49,21,28
179,Estados Unidos Mexicanos,17 Morelos,11 años,31743,15973,15770,31068,15597,15471,641,358,283,34,18,16
180,Estados Unidos Mexicanos,17 Morelos,12 años,34824,17724,17100,34005,17280,16725,781,423,358,38,21,17
181,Estados Unidos Mexicanos,17 Morelos,13 años,32387,16337,16050,31566,15892,15674,780,427,353,41,18,23
182,Estados Unidos Mexicanos,17 Morelos,14 años,32590,16316,16274,31683,15796,15887,875,501,374,32,19,13
183,Estados Unidos Mexicanos,18 Nayarit,Total,199652,101764,97888,176674,89399,87275,22855,12304,10551,123,61,62
184,Estados Unidos Mexicanos,18 Nayarit,6 años,21926,11063,10863,8812,4364,4448,13085,6684,6401,29,15,14
185,Estados Unidos Mexicanos,18 Nayarit,7 años,22180,11352,10828,18239,9147,9092,3922,2196,1726,19,9,10
186,Estados Unidos Mexicanos,18 Nayarit,8 años,22743,11716,11027,20873,10628,10245,1858,1083,775,12,5,7
187,Estados Unidos Mexicanos,18 Nayarit,9 años,22013,11159,10854,20922,10521,10401,1070,628,442,21,10,11
188,Estados Unidos Mexicanos,18 Nayarit,10 años,23040,11782,11258,22272,11339,10933,761,441,320,7,2,5
189,Estados Unidos Mexicanos,18 Nayarit,11 años,21745,11079,10666,21233,10764,10469,506,314,192,6,1,5
190,Estados Unidos Mexicanos,18 Nayarit,12 años,23176,11974,11202,22596,11616,10980,570,352,218,10,6,4
191,Estados Unidos Mexicanos,18 Nayarit,13 años,21367,10725,10642,20859,10433,10426,498,286,212,10,6,4
192,Estados Unidos Mexicanos,18 Nayarit,14 años,21462,10914,10548,20868,10587,10281,585,320,265,9,7,2
193,Estados Unidos Mexicanos,19 Nuevo León,Total,646137,328767,317370,601712,305133,296579,43236,23010,20226,1189,624,565
194,Estados Unidos Mexicanos,19 Nuevo León,6 años,73445,37151,36294,41779,20796,20983,31288,16159,15129,378,196,182
195,Estados Unidos Mexicanos,19 Nuevo León,7 años,71242,36312,34930,66063,33445,32618,5040,2800,2240,139,67,72
196,Estados Unidos Mexicanos,19 Nuevo León,8 años,71535,36646,34889,69480,35453,34027,1954,1143,811,101,50,51
197,Estados Unidos Mexicanos,19 Nuevo León,9 años,68964,35166,33798,67788,34514,33274,1056,587,469,120,65,55
198,Estados Unidos Mexicanos,19 Nuevo León,10 años,72419,37039,35380,71420,36439,34981,906,548,358,93,52,41
199,Estados Unidos Mexicanos,19 Nuevo León,11 años,67250,34380,32870,66516,33934,32582,653,396,257,81,50,31
200,Estados Unidos Mexicanos,19 Nuevo León,12 años,75129,38416,36713,74271,37909,36362,765,458,307,93,49,44
201,Estados Unidos Mexicanos,19 Nuevo León,13 años,73962,37290,36672,73086,36785,36301,775,450,325,101,55,46
202,Estados Unidos Mexicanos,19 Nuevo León,14 años,72191,36367,35824,71309,35858,35451,799,469,330,83,40,43
203,Estados Unidos Mexicanos,20 Oaxaca,Total,782832,396950,385882,640614,324662,315952,140694,71503,69191,1524,785,739
204,Estados Unidos Mexicanos,20 Oaxaca,6 años,85091,42724,42367,26238,12928,13310,58404,29583,28821,449,213,236
205,Estados Unidos Mexicanos,20 Oaxaca,7 años,82804,42290,40514,55234,28014,27220,27373,14171,13202,197,105,92
206,Estados Unidos Mexicanos,20 Oaxaca,8 años,95617,48270,47347,77165,38835,38330,18292,9344,8948,160,91,69
207,Estados Unidos Mexicanos,20 Oaxaca,9 años,85038,42767,42271,75151,37697,37454,9709,4978,4731,178,92,86
208,Estados Unidos Mexicanos,20 Oaxaca,10 años,97116,49753,47363,88723,45324,43399,8270,4363,3907,123,66,57
209,Estados Unidos Mexicanos,20 Oaxaca,11 años,77423,39356,38067,73003,37071,35932,4315,2233,2082,105,52,53
210,Estados Unidos Mexicanos,20 Oaxaca,12 años,93076,47900,45176,87655,45183,42472,5313,2653,2660,108,64,44
211,Estados Unidos Mexicanos,20 Oaxaca,13 años,83454,41750,41704,78875,39653,39222,4477,2042,2435,102,55,47
212,Estados Unidos Mexicanos,20 Oaxaca,14 años,83213,42140,41073,78570,39957,38613,4541,2136,2405,102,47,55
213,Estados Unidos Mexicanos,21 Puebla,Total,1066369,538832,527537,895977,452148,443829,168780,85884,82896,1612,800,812
